vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url,price
meds4ed,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,One 10 Pill Pack of Sildigra 150mg Viagra FREE USA,30.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/one-10-pill-pack-of-sildigra-150mg-viagra-free-usa,30.0
PostNL,Drugs and Chemicals,Psychedelics,LSD,LSD,1000 x 250ug LSD tabs (blotters),"2,385.41",Netherlands,Netherlands,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000-x-250ug-lsd-tabs-blotters,2385.0
California420Service,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,Raw Garden Slurmberry Refined Live Resin 1.0g Cart,170.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/raw-garden-slurmberry-refined-live-resin-10g-cart,170.0
drkend,Drugs and Chemicals,Benzos,,Benzos,Buy Clonazolam Online (100G),"2,100.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-clonazolam-online-100g,2100.0
PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,500g Apple Haze AAAA++ - UK,"4,726.77",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500g-apple-haze-aaaa-uk,4726.0
fadedfork,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,140g blueberry tahoe x gsc,"1,501.44",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/140g-blueberry-tahoe-x-gsc,1501.0
ElizabethQueen2,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,7g Amensia Haze ***ElizabethQueen2***,55.61,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-amensia-haze-elizabethqueen2,56.0
NextLevel,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,30x 10mg Oxycodone Instant Release (HCL) Pharmacy!,125.30,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/30x-10mg-oxycodone-instant-release-hcl-pharmacy,125.0
auspride,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Pfizer Lyrica 300mg 56 caps Pregabalin,217.05,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pfizer-lyrica-300mg-56-caps-pregabalin,217.0
DailyPaper,Drugs and Chemicals,Stimulants,Crack,Crack,0.5 Gr - Pure Colombian Crack Cocaine 89% [UNCUT],35.80,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05-gr-pure-colombian-crack-cocaine-89-uncut,36.0
Everylittlehalps,Drugs and Chemicals,Psychedelics,LSD,LSD,FREE DELIVERY 💎 1x LSD TABS 300UG 💎 UK-UK,12.51,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/free-delivery-1x-lsd-tabs-300ug-uk-uk,13.0
ukcartel1,Drugs and Chemicals,Ecstasy,Pills,Pills,x2 Dom Perignon MDMA pills 220MG,13.90,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/x2-dom-perignon-mdma-pills-220mg,14.0
ubercocaine,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,(28 gram) AMNESIA HAZE CANNABIS / WEED UK NDD,457.38,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28-gram-amnesia-haze-cannabis-weed-uk-ndd,457.0
pharmatec,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,Merc Stamped Pollen Hash - 28 Grams = 235 GBP,326.70,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/merc-stamped-pollen-hash-28-grams-235-gbp,327.0
dexterslabs,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,0.7g 90% Pure Premium Cocaine Coke Top Quality AAA,97.32,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/07g-90-pure-premium-cocaine-coke-top-quality-aaa,97.0
Germanapotheke,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1gr Power Flower AAA+++,14.90,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1gr-power-flower-aaa,15.0
DoctorXXL,Drugs and Chemicals,Stimulants,Meth,Meth,PROMO* Crystal Meth Shards 75% Ephedrine *10 Gram*,298.32,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/promo-crystal-meth-shards-75-ephedrine-10-gram,298.0
bulkbars,Drugs and Chemicals,Ecstasy,,Ecstasy,XTC X500 PUNISHER PILLS 220mg(Dutch Grade) USA-USA,"3,000.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xtc-x500-punisher-pills-220mgdutch-grade-usa-usa,3000.0
FrankCostello,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycontin 3x 80mg (oxycodone) Xpress Post,47.81,Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycontin-3x-80mg-oxycodone-xpress-post-5,48.0
drugsukstore,Drugs and Chemicals,,,Drugs and Chemicals,28g AMNESIA HAZE CANNABIS,424.02,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-amnesia-haze-cannabis,424.0
Medicalking007,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,Oxycodone Aurobindo ER 20 pills 10mg 60 euro,71.60,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycodone-aurobindo-er-20-pills-10mg-60-euro,72.0
kenza,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Temazepam 20mg x 30,90.36,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/temazepam-20mg-x-30,90.0
igogrraawwr,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,**NEW BATCH ** BLUES/M30s XTRA STRONG!,12.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/new-batch-bluesm30s-xtra-strong,12.0
richhigh999,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,OXYCODONE SANDOZ 80mg 28 PILLS ORIGINAL BLISTERS,420.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/oxycodone-sandoz-80mg-28-pills-original-blisters,420.0
DoctorXXL,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,Cocaine Colombiana Fishscale 9/10 *1 GRAM,77.56,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/cocaine-colombiana-fishscale-910-1-gram,78.0
Worldtime,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1 POUND K-SRAIN,"1,500.00",,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-pound-k-srain,1500.0
drugpluguk,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,✶5G HIGH PURITY SOCIABLE COCAINE✶,271.09,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-high-purity-sociable-cocaine-1,271.0
Malavitoso,Drugs and Chemicals,Opiates,Heroin,Heroin,0.25g 1/4g #4 Heroin,50.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/025g-14g-4-heroin,50.0
Hofmanncrew,Drugs and Chemicals,Psychedelics,LSD,LSD,Customclass: parolento1332,44.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/customclass-parolento1332,44.0
THEPOSTMAN,Drugs and Chemicals,,,Drugs and Chemicals,10g G13 HAZE PREMIUM FLOWER (IMPORT) *FREE UK DEL,122.34,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10g-g13-haze-premium-flower-import-free-uk-del,122.0
WA2018,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,New strain! HP/225g Runtz AAA+ INDOOR,"1,080.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/new-strain-hp225g-runtz-aaa-indoor,1080.0
Licensedbud,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,PurpleKush 7g+BlackDominaIndica 7g free shipping,115.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/purplekush-7gblackdominaindica-7g-free-shipping,115.0
