vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to
TheIcePrincess,Drugs and Chemicals,,,Drugs and Chemicals,3.5G WHITE CRUMBLE LIVE RESIN,75.00,United States,United States
WeedShopHulk,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,"5G Runtz Filtré*3 by ""Barneys Farms""",102.93,France,France
prestigeworldwde,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,PrestigeWorldwide 1G PREMIUM GRADE FISH SCALE COKE,323.72,Australia,Australia
MedicalCenter,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Royal Gorilla Hash High Quality A+++ 5 G,66.60,Germany,Europe
MrImpossible,Drugs and Chemicals,Psychedelics,LSD,LSD,500 x 150ug Wizard LSD,504.94,Australia,Australia
fadedfork,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,84g blueberry tahoe x gsc,931.53,United Kingdom,Worldwide
RealNarcotiks3,Drugs and Chemicals,Stimulants,Speed,Speed,50 ICE SPEED PILLS 25-30 MG+ EXTRA 10% ADDED,69.95,,North America
jimmjoness,Drugs and Chemicals,Ecstasy,MDMA,MDMA,1 Kilo MDMA CHAPMAGNE CRISTALS,632.90,,Worldwide
drkend,Drugs and Chemicals,,,Drugs and Chemicals,Buy ADB-Pinaca Online (250 G),750.00,China,Worldwide
fadedfork,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,28g jaffa caked cookies - grade b,254.05,United Kingdom,Worldwide
DutchGlory,Drugs and Chemicals,Stimulants,Crack,Crack,★  1 GR ★ Grams - Pure Colombian Crack Cocaine 89%,78.71,Netherlands,Worldwide
original_kimono,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,KIMONO 90% THC cannabis syringe refill UK Xpress,35.29,United Kingdom,Europe
PremierLeagueWorldWide,Drugs and Chemicals,Ecstasy,MDMA,MDMA,500Grams Mdma Crystal TRACK EXTRA DECOY,055.64,United Kingdom,Worldwide
Utopia,Drugs and Chemicals,Psychedelics,LSD,LSD,5 TABS - LSD - 105ug,46.25,Australia,Australia
underlinecost,Drugs and Chemicals,Psychedelics,LSD,LSD,20 x 300ug - LSD - FREE EXPRESS SHIPPING,242.79,Australia,Australia
mdacanada,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,5 x 36mg concerta 100% from pharmacy,156.27,Canada,Canada
2GD4DN,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,2g Sugar Ketamine,54.49,Netherlands,Worldwide
GreyGooseGlobal,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,250GR II KETAMINE S-ISOMER SUGAR EC 99%,148.52,Germany,Europe
WA2018,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,HP/225g Blue Cookies AAA+ INDOOR WEED,880.00,United States,United States
gigglytities,Drugs and Chemicals,Benzos,Pills,Pills,Sample Listing Xanax GG249 US to US,1.00,United States,North America
StrainPirate,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,2x Blank Strain Pirate 1g Delta 9 Sour Diesel Cart,32.00,United States,United States
BestBudz,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,"CALI WEED 4 x 3,5gr GELATO-100% PREMIUM SELFMADE",423.84,Germany,Germany
TheBodyShop,Drugs and Chemicals,Benzos,,Benzos,XANAX Alprazolam 1mg 180 tabs (EU to worldwide),199.00,Netherlands,Worldwide
Mont-Blanc,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1000 gram Premium Flake Cocaine 90% pure Fishscale,221.68,Germany,Europe
MadeInFrance,Drugs and Chemicals,Benzos,Pills,Pills,"Temesta (Lorazépam) 60 x 2,5 mg",145.32,France,Worldwide
thedopehouse,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,*$1100 Shipped**448 Grams*Blue Meanie Cubensis*,100.00,United States,United States
AlphaGear,Drugs and Chemicals,Steroids,,Steroids,GP - Exemestane 20 count @ 25mg each hard tablet,89.00,United States,United States
drkend,Drugs and Chemicals,Benzos,Powder,Powder,Buy APP-Binaca Online (500g ),350.00,China,Worldwide
RoyalMailer,Drugs and Chemicals,Ecstasy,Pills,Pills,1000x Orange Tesla XTC 250mg IMPORT - UK,540.54,United Kingdom,United Kingdom
LordOfWeed,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,50g StarBud 20%THC 10% Free 265€,320.91,Greece,Europe
